date,QV2M
2000-01-01,9.141639344262295
2001-01-01,10.088191780821917
2002-01-01,10.470904109589041
2003-01-01,10.732246575342465
2004-01-01,10.401229508196721
2005-01-01,10.573205479452055
2006-01-01,9.984767123287671
2007-01-01,9.685972602739726
2008-01-01,10.066420765027322
2009-01-01,10.854164383561644
2010-01-01,10.223178082191781
2011-01-01,10.151780821917809
2012-01-01,10.643743169398908
2013-01-01,10.55608219178082
2014-01-01,10.271260273972603
2015-01-01,11.134356164383561
2016-01-01,10.538852459016393
2017-01-01,11.088328767123286
2018-01-01,11.050438356164383
2019-01-01,10.817205479452054
2020-01-01,10.9224043715847
